id,target
0,no
1,no
2,yes
3,yes
4,no
5,no
6,no
7,yes
8,no
9,no
10,yes
11,no
12,no
13,no
14,yes
15,yes
16,no
17,no
18,no
19,yes
20,yes
21,no
22,no
23,no
24,no
25,yes
26,no
27,no
28,no
29,no
30,yes
31,no
32,no
33,no
34,no
35,no
36,yes
37,no
38,no
39,no
40,yes
41,yes
42,no
43,no
44,no
45,yes
46,no
47,no
48,no
49,no
50,no
51,no
52,no
53,yes
54,no
55,no
56,no
57,yes
58,yes
59,no
60,no
61,no
62,no
63,no
64,no
65,no
66,yes
67,no
68,no
69,no
70,yes
71,no
72,no
73,no
74,no
75,no
76,no
77,no
78,no
79,no
80,no
81,no
82,no
83,yes
84,no
85,no
86,no
87,yes
88,no
89,yes
90,no
91,no
92,yes
93,no
94,no
95,no
96,no
97,no
98,yes
99,no
100,no
101,no
102,no
103,no
104,no
105,no
106,no
107,no
108,no
109,no
110,no
111,no
112,yes
113,no
114,no
115,no
116,no
117,no
118,no
119,yes
120,no
121,no
122,no
123,no
124,no
125,no
126,yes
127,no
128,yes
129,yes
130,no
131,no
132,no
133,yes
134,no
135,no
136,yes
137,no
138,no
139,no
140,no
141,no
142,yes
143,yes
144,no
145,no
146,no
147,yes
148,yes
149,no
150,no
151,no
152,no
153,no
154,yes
155,no
156,no
157,no
158,no
159,no
160,no
161,no
162,no
163,no
164,yes
165,yes
166,yes
167,no
168,no
169,no
170,yes
171,no
172,no
173,no
174,no
175,yes
176,no
177,no
178,yes
179,yes
180,no
181,yes
182,yes
183,no
184,no
185,no
186,no
187,no
188,no
189,no
190,yes
191,yes
192,no
193,no
194,no
195,no
196,no
197,yes
198,no
199,yes
200,yes
201,no
202,no
203,no
204,yes
205,no
206,no
207,no
208,yes
209,yes
210,no
211,no
212,no
213,no
214,no
215,no
216,no
217,no
218,no
219,no
220,no
221,no
222,no
223,yes
224,yes
225,no
226,yes
227,no
228,no
229,no
230,no
231,no
232,no
233,yes
234,no
235,no
236,no
237,no
238,no
239,no
240,no
241,no
242,no
243,no
244,no
245,no
246,no
247,no
248,yes
249,no
250,no
251,no
252,yes
253,no
254,no
255,no
256,no
257,no
258,no
259,no
260,no
261,no
262,no
263,no
264,no
265,yes
266,no
267,no
268,no
269,no
270,no
271,yes
272,yes
273,no
274,yes
275,no
276,no
277,no
278,yes
279,no
280,yes
281,yes
282,no
283,no
284,no
285,no
286,no
287,yes
288,no
289,no
290,yes
291,no
292,no
293,no
294,no
295,no
296,yes
297,no
298,yes
299,no
300,yes
301,no
302,no
303,no
304,no
305,no
306,no
307,no
308,yes
309,no
310,yes
311,no
312,no
313,yes
314,no
315,yes
316,no
317,no
318,yes
319,yes
320,no
321,no
322,no
323,no
324,no
325,no
326,no
327,no
328,yes
329,yes
330,no
331,no
332,yes
333,no
334,yes
335,no
336,no
337,no
338,no
339,no
340,yes
341,no
342,no
343,yes
344,yes
345,yes
346,yes
347,yes
348,no
349,no
350,no
351,no
352,no
353,yes
354,yes
355,yes
356,no
357,yes
358,no
359,no
360,no
361,no
362,no
363,no
364,yes
365,yes
366,no
367,yes
368,no
369,no
370,no
371,no
372,no
373,no
374,no
375,yes
376,no
377,no
378,no
379,no
380,yes
381,no
382,yes
383,no
384,yes
385,no
386,no
387,no
388,no
389,yes
390,yes
391,no
392,no
393,no
394,no
395,no
396,yes
397,no
398,no
399,no
400,no
401,no
402,no
403,no
404,no
405,no
406,no
407,no
408,no
409,yes
410,no
411,yes
412,no
413,no
414,no
415,yes
416,no
417,no
418,yes
419,no
420,no
421,no
422,no
423,no
424,no
425,yes
426,no
427,no
428,no
429,no
430,no
431,no
432,yes
433,no
434,no
435,no
436,yes
437,no
438,no
439,yes
440,no
441,no
442,no
443,no
444,no
445,yes
446,no
447,no
448,no
449,no
450,no
451,no
452,yes
453,no
454,no
455,no
456,no
457,yes
458,no
459,no
460,no
461,no
462,no
463,no
464,no
465,no
466,yes
467,no
468,no
469,no
470,no
471,no
472,no
473,yes
474,no
475,no
476,no
477,no
478,no
479,no
480,no
481,no
482,no
483,yes
484,no
485,no
486,no
487,no
488,no
489,no
490,no
491,no
492,no
493,no
494,no
495,no
496,no
497,no
498,no
499,no
500,yes
501,no
502,no
503,no
504,no
505,yes
506,no
507,yes
508,no
509,yes
510,no
511,no
512,no
513,no
514,no
515,no
516,no
517,no
518,no
519,no
520,no
521,yes
522,no
523,no
524,no
525,no
526,no
527,no
528,no
529,yes
530,no
531,no
532,no
533,no
534,no
535,no
536,no
537,yes
538,yes
539,no
540,no
541,yes
542,yes
543,no
544,yes
545,no
546,no
547,no
548,no
549,yes
550,no
551,no
552,no
553,yes
554,no
555,yes
556,no
557,yes
558,no
559,no
560,no
561,no
562,yes
563,no
564,no
565,no
566,yes
567,no
568,no
569,no
570,no
571,no
572,no
573,no
574,yes
575,yes
576,no
577,no
578,yes
579,yes
580,yes
581,yes
582,yes
583,no
584,yes
585,no
586,no
587,no
588,no
589,no
590,no
591,yes
592,no
593,no
594,yes
595,no
596,no
597,no
598,no
599,no
600,yes
601,no
602,no
603,no
604,no
605,no
606,no
607,no
608,no
609,no
610,no
611,yes
612,no
613,no
614,no
615,no
616,no
617,no
618,no
619,yes
620,no
621,no
622,no
623,no
624,no
625,yes
626,no
627,yes
628,no
629,no
630,no
631,no
632,no
633,no
634,no
635,yes
636,no
637,no
638,yes
639,no
640,no
641,no
642,yes
643,yes
644,no
645,no
646,no
647,no
648,no
649,no
650,no
651,no
652,yes
653,no
654,yes
655,no
656,yes
657,no
658,no
659,no
660,yes
661,no
662,no
663,no
664,no
665,yes
666,no
667,no
668,no
669,no
670,no
671,no
672,no
673,yes
674,no
675,no
676,no
677,no
678,no
679,yes
680,no
681,no
682,no
683,no
684,no
685,no
686,yes
687,no
688,no
689,no
690,yes
691,no
692,yes
693,no
694,no
695,no
696,no
697,no
698,yes
699,yes
700,no
701,no
702,yes
703,no
704,no
705,no
706,no
707,no
708,yes
709,no
710,no
711,yes
712,yes
713,no
714,yes
715,no
716,yes
717,no
718,yes
719,yes
720,no
721,no
722,no
723,no
724,no
725,no
726,yes
727,no
728,no
729,no
730,no
731,no
732,yes
733,no
734,no
735,no
736,yes
737,yes
738,no
739,no
740,no
741,no
742,no
743,no
744,no
745,no
746,no
747,yes
748,yes
749,no
750,yes
751,no
752,no
753,no
754,yes
755,yes
756,no
757,no
758,no
759,no
760,no
761,yes
762,yes
763,no
764,no
765,no
766,no
767,no
768,no
769,yes
770,no
771,no
772,no
773,no
774,no
775,no
776,yes
777,no
778,no
779,no
780,no
781,yes
782,no
783,no
784,no
785,yes
786,no
787,yes
788,yes
789,no
790,no
791,no
792,no
793,no
794,no
795,yes
796,no
797,no
798,no
799,yes
800,no
801,no
802,yes
803,no
804,no
805,no
806,no
807,yes
808,no
809,yes
810,no
811,no
812,no
813,yes
814,no
815,yes
816,no
817,no
818,no
819,no
820,no
821,no
822,no
823,no
824,no
825,no
826,no
827,no
828,yes
829,yes
830,no
831,no
832,no
833,yes
834,no
835,no
836,no
837,no
838,no
839,no
840,no
841,no
842,no
843,yes
844,no
845,no
846,yes
847,no
848,no
849,no
850,no
851,yes
852,no
853,no
854,no
855,no
856,yes
857,no
858,yes
859,no
860,no
861,no
862,no
863,no
864,no
865,no
866,no
867,no
868,no
869,no
870,no
871,no
872,yes
873,no
874,no
875,yes
876,no
877,no
878,yes
879,yes
880,no
881,no
882,yes
883,no
884,yes
885,no
886,no
887,yes
888,no
889,no
890,yes
891,no
892,no
893,no
894,yes
895,no
896,no
897,yes
898,no
899,yes
900,yes
901,yes
902,no
903,no
904,no
905,no
906,yes
907,no
908,yes
909,no
910,no
911,no
912,no
913,no
914,yes
915,no
916,no
917,yes
918,yes
919,no
920,no
921,yes
922,no
923,no
924,no
925,no
926,no
927,no
928,no
929,no
930,no
931,no
932,no
933,no
934,no
935,no
936,no
937,yes
938,no
939,no
940,no
941,yes
942,no
943,no
944,no
945,yes
946,no
947,no
948,no
949,no
950,no
951,no
952,no
953,no
954,no
955,no
956,no
957,yes
958,yes
959,no
960,no
961,no
962,no
963,no
964,yes
965,no
966,no
967,yes
968,no
969,no
970,no
971,yes
972,no
973,no
974,no
975,yes
976,no
977,yes
978,yes
979,yes
980,yes
981,no
982,no
983,yes
984,yes
985,no
986,yes
987,no
988,no
989,no
990,no
991,no
992,yes
993,no
994,yes
995,no
996,no
997,no
998,no
999,no
1000,no
1001,yes
1002,no
1003,no
1004,no
1005,yes
1006,no
1007,no
1008,yes
1009,no
1010,no
1011,no
1012,yes
1013,no
1014,no
1015,yes
1016,no
