id,target
0,yes
1,yes
2,yes
3,yes
4,no
5,no
6,yes
7,no
8,yes
9,yes
10,no
11,no
12,yes
13,no
14,yes
15,yes
16,yes
17,yes
18,yes
19,yes
20,yes
21,no
22,yes
23,yes
24,no
25,no
26,no
27,yes
28,yes
29,no
30,no
31,yes
32,yes
33,yes
34,no
35,yes
36,yes
37,yes
38,yes
39,yes
40,yes
41,no
42,yes
43,no
44,yes
45,yes
46,no
47,no
48,no
49,no
50,no
51,yes
52,no
53,no
54,yes
55,yes
56,yes
57,yes
58,no
59,no
60,no
61,yes
62,no
63,yes
64,yes
65,no
66,yes
67,no
68,no
69,no
70,no
71,no
72,yes
73,no
74,yes
75,yes
76,yes
77,no
78,no
79,no
80,yes
81,no
82,no
83,no
84,yes
85,no
86,no
87,no
88,no
89,yes
90,yes
91,no
92,no
93,no
94,no
95,no
96,no
97,yes
98,yes
99,yes
100,yes
101,yes
102,no
103,no
104,no
105,no
106,no
107,no
108,no
109,no
110,yes
111,no
112,no
113,yes
114,no
115,no
116,yes
117,no
118,no
119,yes
120,yes
121,yes
122,yes
123,yes
124,no
125,no
126,yes
127,no
128,yes
129,yes
130,no
131,no
132,no
133,no
134,no
135,no
136,no
137,no
138,no
139,no
140,no
141,no
142,no
143,no
144,yes
145,yes
146,no
147,no
148,yes
149,no
150,yes
151,no
152,no
153,yes
154,no
155,no
156,no
157,no
158,no
159,no
160,no
161,no
162,no
163,yes
164,yes
165,yes
166,no
167,no
168,no
169,no
170,no
171,no
172,no
173,no
174,no
175,no
176,yes
177,yes
178,yes
179,no
180,yes
181,no
182,no
183,no
184,no
185,no
186,no
187,no
188,no
189,yes
190,no
191,no
192,no
193,no
194,no
195,yes
196,yes
197,no
198,no
199,no
200,no
201,no
202,yes
203,no
204,no
205,no
206,no
207,no
208,no
209,no
210,no
211,no
212,no
213,no
214,no
215,yes
216,no
217,no
218,no
219,no
220,no
221,yes
222,yes
223,no
224,yes
225,yes
226,no
227,no
228,no
229,no
230,no
231,yes
232,no
233,no
234,no
235,no
236,no
237,no
238,no
239,no
240,yes
241,no
242,yes
243,yes
244,no
245,no
246,no
247,no
248,no
249,no
250,no
251,no
252,yes
253,yes
254,no
255,no
256,no
257,no
258,no
259,no
260,no
261,yes
262,no
263,yes
264,no
265,yes
266,no
267,no
268,no
269,no
270,no
271,no
272,no
273,no
274,no
275,no
276,no
277,no
278,no
279,no
280,no
281,yes
282,no
283,no
284,no
285,no
286,no
287,yes
288,yes
289,yes
290,yes
291,no
292,no
293,no
294,no
295,no
296,no
297,no
298,no
299,no
300,no
301,no
302,no
303,no
304,no
305,yes
306,no
307,no
308,no
309,no
310,no
311,no
312,no
313,no
314,no
315,no
316,no
317,no
318,yes
319,no
320,no
321,yes
322,no
323,yes
324,no
325,no
326,no
327,no
328,yes
329,no
330,no
331,no
332,yes
333,yes
334,no
335,yes
336,no
337,no
338,yes
339,no
340,no
341,no
342,no
343,no
344,no
345,no
346,no
347,no
348,no
349,no
350,no
351,no
352,no
353,no
354,no
355,no
356,no
357,no
358,no
359,no
360,no
361,no
362,no
363,no
364,no
365,yes
366,no
367,no
368,no
369,yes
370,yes
371,no
372,no
373,no
374,no
375,yes
376,no
377,no
378,no
379,no
380,no
381,no
382,no
383,no
384,no
385,no
386,no
387,no
388,no
389,no
390,no
391,no
392,no
393,no
394,no
395,no
396,yes
397,no
398,no
399,yes
400,no
401,no
402,no
403,no
404,no
405,no
406,no
407,no
408,no
409,no
410,no
411,no
412,no
413,no
414,no
415,no
416,no
417,no
418,no
419,no
420,no
421,no
422,no
423,no
424,no
425,no
426,no
427,no
428,no
429,no
430,no
431,no
432,yes
433,no
434,no
435,no
436,no
437,no
438,no
439,no
440,no
441,no
442,no
443,no
444,no
445,no
446,no
447,no
448,no
449,no
450,no
451,no
452,no
453,no
454,no
455,no
456,no
457,no
458,no
459,no
460,no
461,no
462,yes
463,no
464,no
465,no
466,no
467,no
468,yes
469,no
470,no
471,no
472,no
473,no
474,no
475,yes
476,no
477,no
478,no
479,no
480,no
481,no
482,no
483,no
484,no
485,no
486,no
487,no
488,no
489,no
490,no
491,no
492,no
493,no
494,no
495,no
496,no
497,no
498,no
499,no
500,yes
501,yes
502,yes
503,no
504,yes
505,yes
506,yes
507,no
508,yes
509,yes
510,yes
511,no
512,no
513,no
514,yes
515,no
516,yes
517,yes
518,yes
519,yes
520,yes
521,yes
522,yes
523,yes
524,no
525,no
526,yes
527,no
528,no
529,yes
530,yes
531,yes
532,no
533,no
534,no
535,yes
536,yes
537,yes
538,yes
539,yes
540,yes
541,no
542,yes
543,yes
544,no
545,yes
546,no
547,no
548,yes
549,yes
550,no
551,yes
552,yes
553,no
554,no
555,no
556,no
557,no
558,no
559,no
560,yes
561,no
562,yes
563,no
564,no
565,no
566,no
567,no
568,yes
569,no
570,no
571,no
572,yes
573,no
574,yes
575,yes
576,yes
577,no
578,no
579,no
580,no
581,yes
582,no
583,no
584,no
585,no
586,yes
587,no
588,no
589,no
590,no
591,no
592,no
593,yes
594,no
595,no
596,yes
597,no
598,no
599,no
600,no
601,no
602,no
603,no
604,no
605,no
606,no
607,no
608,no
609,no
610,no
611,no
612,yes
613,no
614,no
615,no
616,no
617,no
618,yes
619,no
620,no
621,no
622,yes
623,no
624,yes
625,no
626,no
627,no
628,no
629,no
630,no
631,no
632,no
633,no
634,no
635,no
636,no
637,no
638,no
639,yes
640,yes
641,no
642,no
643,no
644,yes
645,no
646,no
647,no
648,no
649,no
650,no
651,no
652,no
653,no
654,no
655,no
656,no
657,no
658,no
659,no
660,no
661,no
662,no
663,no
664,no
665,no
666,no
667,yes
668,no
669,yes
670,no
671,no
672,no
673,no
674,no
675,no
676,no
677,no
678,no
679,no
680,yes
681,no
682,no
683,no
684,no
685,no
686,no
687,no
688,no
689,no
690,no
691,no
692,no
693,no
694,no
695,yes
696,no
697,no
698,no
699,no
700,no
701,no
702,no
703,no
704,no
705,no
706,no
707,no
708,yes
709,no
710,no
711,no
712,yes
713,no
714,no
715,no
716,no
717,no
718,no
719,no
720,no
721,no
722,no
723,no
724,no
725,no
726,no
727,no
728,no
729,no
730,no
731,no
732,yes
733,no
734,no
735,no
736,no
737,no
738,no
739,no
740,no
741,no
742,no
743,no
744,no
745,no
746,no
747,no
