id,target
0,yes
1,no
2,yes
3,yes
4,no
5,yes
6,yes
7,yes
8,yes
9,no
10,no
11,no
12,yes
13,no
14,yes
15,no
16,yes
17,yes
18,no
19,yes
20,yes
21,yes
22,yes
23,yes
24,yes
25,yes
26,yes
27,yes
28,yes
29,no
30,yes
31,yes
32,yes
33,yes
34,yes
35,no
36,yes
37,no
38,yes
39,yes
40,yes
41,yes
42,yes
43,yes
44,no
45,yes
46,yes
47,yes
48,yes
49,yes
50,yes
51,yes
52,yes
53,yes
54,no
55,yes
56,no
57,yes
58,yes
59,no
60,yes
61,yes
62,no
63,no
64,yes
65,yes
66,yes
67,yes
68,no
69,yes
70,yes
71,yes
72,yes
73,yes
74,no
75,yes
76,no
77,yes
78,yes
79,yes
80,no
81,yes
82,yes
83,yes
84,yes
85,yes
86,yes
87,no
88,yes
89,no
90,yes
91,yes
92,no
93,yes
94,yes
95,no
96,yes
97,yes
98,yes
99,yes
100,yes
101,yes
102,yes
103,yes
104,yes
105,no
106,no
107,yes
108,yes
109,yes
110,yes
111,yes
112,yes
113,no
114,yes
115,yes
116,no
117,yes
118,no
119,yes
120,no
121,yes
122,yes
123,yes
124,no
125,yes
126,yes
127,no
128,yes
129,no
130,yes
131,no
132,yes
133,yes
134,yes
135,yes
136,yes
137,no
138,yes
139,yes
140,yes
141,yes
142,yes
143,no
144,yes
145,yes
146,yes
147,yes
148,yes
149,yes
150,yes
151,yes
152,yes
153,yes
154,yes
155,no
156,yes
157,yes
158,yes
159,yes
160,yes
161,yes
162,yes
163,yes
164,yes
165,yes
166,no
167,yes
168,yes
169,no
170,no
171,yes
172,no
173,yes
174,no
175,no
176,yes
177,yes
178,yes
179,yes
180,no
181,no
182,no
183,yes
184,no
185,yes
186,no
187,yes
188,no
189,yes
190,no
191,no
192,no
193,yes
194,no
195,no
196,yes
197,no
198,yes
199,no
200,yes
201,yes
202,yes
203,no
204,yes
205,yes
206,yes
207,yes
208,yes
209,yes
210,yes
211,yes
212,no
213,no
214,yes
215,yes
216,yes
217,yes
218,yes
219,yes
220,yes
221,yes
222,yes
223,yes
224,yes
225,yes
226,no
227,no
228,no
229,yes
230,no
231,yes
232,yes
233,yes
234,yes
235,no
